system_id,category,unit,swt,concrete_volume,steel_volume,timber_volume,depth
milbank_bb_155_md,precast,metric,1.88,0.078333333,0.0376,,0.255
milbank_bb_155_md,precast,metric,1.88,0.078333333,0.0376,,0.255
milbank_bb_155_md,precast,metric,1.88,0.078333333,0.0376,,0.255
milbank_bb_155_md,precast,metric,1.88,0.078333333,0.0376,,0.255
milbank_bb_155_md,precast,metric,1.88,0.078333333,0.0376,,0.255
milbank_bb_155_md,precast,metric,1.88,0.078333333,0.0376,,0.255
milbank_bb_155_md,precast,metric,1.88,0.078333333,0.0376,,0.255
milbank_bb_155_md,precast,metric,2.06,0.085833333,0.0412,,0.255
milbank_bb_155_md,precast,metric,2.06,0.085833333,0.0412,,0.255
milbank_bb_155_md,precast,metric,2.06,0.085833333,0.0412,,0.255
milbank_bb_155_md,precast,metric,2.06,0.085833333,0.0412,,0.255
milbank_bb_155_md,precast,metric,2.06,0.085833333,0.0412,,0.255
milbank_bb_155_md,precast,metric,2.06,0.085833333,0.0412,,0.255
milbank_bb_155_md,precast,metric,2.06,0.085833333,0.0412,,0.255
milbank_bb_155_md,precast,metric,2.06,0.085833333,0.0412,,0.255
milbank_bb_155_md,precast,metric,2.11,0.087916667,0.0422,,0.255
milbank_bb_155_md,precast,metric,2.11,0.087916667,0.0422,,0.255
milbank_bb_155_md,precast,metric,2.11,0.087916667,0.0422,,0.255
milbank_bb_155_md,precast,metric,2.11,0.087916667,0.0422,,0.255
milbank_bb_155_md,precast,metric,2.11,0.087916667,0.0422,,0.255
milbank_bb_155_md,precast,metric,2.11,0.087916667,0.0422,,0.255
milbank_bb_155_md,precast,metric,2.11,0.087916667,0.0422,,0.255
milbank_bb_155_md,precast,metric,2.11,0.087916667,0.0422,,0.255
milbank_bb_155_md,precast,metric,2.26,0.094166667,0.0452,,0.255
milbank_bb_155_md,precast,metric,2.26,0.094166667,0.0452,,0.255
milbank_bb_155_md,precast,metric,2.26,0.094166667,0.0452,,0.255
milbank_bb_155_md,precast,metric,2.26,0.094166667,0.0452,,0.255
milbank_bb_155_md,precast,metric,2.26,0.094166667,0.0452,,0.255
milbank_bb_155_md,precast,metric,2.26,0.094166667,0.0452,,0.255
milbank_bb_155_md,precast,metric,2.26,0.094166667,0.0452,,0.255
milbank_bb_155_md,precast,metric,2.26,0.094166667,0.0452,,0.255
milbank_bb_155_md,precast,metric,2.5,0.104166667,0.05,,0.255
milbank_bb_155_md,precast,metric,2.5,0.104166667,0.05,,0.255
milbank_bb_155_md,precast,metric,2.5,0.104166667,0.05,,0.255
milbank_bb_155_md,precast,metric,2.5,0.104166667,0.05,,0.255
milbank_bb_155_md,precast,metric,2.5,0.104166667,0.05,,0.255
milbank_bb_155_md,precast,metric,2.5,0.104166667,0.05,,0.255
milbank_bb_155_md,precast,metric,2.5,0.104166667,0.05,,0.255
milbank_bb_155_md,precast,metric,2.5,0.104166667,0.05,,0.255
milbank_bb_155_md,precast,metric,2.75,0.114583333,0.055,,0.255
milbank_bb_155_md,precast,metric,2.75,0.114583333,0.055,,0.255
milbank_bb_155_md,precast,metric,2.75,0.114583333,0.055,,0.255
milbank_bb_155_md,precast,metric,2.75,0.114583333,0.055,,0.255
milbank_bb_155_md,precast,metric,2.75,0.114583333,0.055,,0.255
milbank_bb_155_md,precast,metric,2.75,0.114583333,0.055,,0.255
milbank_bb_155_md,precast,metric,2.75,0.114583333,0.055,,0.255
milbank_bb_155_md,precast,metric,2.75,0.114583333,0.055,,0.255
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs120,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs160,precast,metric,3.75,0.15625,0.075,,0.3
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
lynx_bb_cs225,precast,metric,5.625,0.234375,0.1125,,0.45
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.131
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1309
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1309
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1309
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.131
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.131
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.131
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.131
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1312
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1312
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1312
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1312
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1509
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1509
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1509
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1509
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.151
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.151
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.151
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.151
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1512
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1512
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1512
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1512
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.2009
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.2009
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.2009
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.2009
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.201
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.201
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.201
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.201
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.2012
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.2012
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.2012
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.2012
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1509
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1509
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1509
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1509
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.151
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.151
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.151
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.151
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1512
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1512
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1512
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1512
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1709
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1709
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1709
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1709
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.171
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.171
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.171
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.171
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1712
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1712
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1712
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1712
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.2009
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.2009
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.2009
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.2009
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.201
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.201
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.201
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.201
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.2012
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.2012
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.2012
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.2012
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1309
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1309
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1309
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1309
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.131
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.131
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.131
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.131
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1312
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1312
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1312
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1312
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1509
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1509
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1509
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.1509
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.151
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.151
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.151
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.151
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1512
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1512
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1512
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.1512
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.2009
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.2009
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.2009
S350_normal_weight,composite,metric,2.308,0.096166667,0.04616,,0.2009
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.201
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.201
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.201
S350_normal_weight,composite,metric,2.779,0.115791667,0.05558,,0.201
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.2012
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.2012
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.2012
S350_normal_weight,composite,metric,3.961,0.165041667,0.07922,,0.2012
bison_sp_100_solid_plank,precast,metric,2.4,0.1,0.048,,0.1
bison_sp_100_solid_plank,precast,metric,2.4,0.1,0.048,,0.1
bison_sp_100_solid_plank,precast,metric,2.4,0.1,0.048,,0.1
bison_sp_100_solid_plank,precast,metric,2.4,0.1,0.048,,0.1
bison_sp_100_solid_plank,precast,metric,2.4,0.1,0.048,,0.1
bison_sp_100_solid_plank,precast,metric,2.4,0.1,0.048,,0.1
bison_sp_100_solid_plank,precast,metric,2.4,0.1,0.048,,0.1
bison_sp_100_solid_plank,precast,metric,2.4,0.1,0.048,,0.1
bison_sp_100_solid_plank,precast,metric,2.4,0.1,0.048,,0.1
