system_variant,system_family,slab_depth,beam_depth,screed_depth,steel_depth,swt,sdl,ll,max_span,concrete_volume,steel_volume,timber_volume,material_concrete_id,material_pt_id,material_steel_id,material_timber_id,ebc_mm,beam_ref,source
cemex_bb_155_e6,cemex_bb_155_e,0.155,0.1,,,2.95,1.56,5,5.564,0.12291667,0.059,,concrete,pt,,,211,CEMEX_155_E,
cemex_bb_155_1450_a1,cemex_bb_155_1450_a,0.155,0.1,,,1.91,1.56,1.5,4.67,0.07958333,0.0382,,concrete,pt,,,520,CEMEX_155_1450_A,
cemex_bb_155_1450_a2,cemex_bb_155_1450_a,0.155,0.1,,,1.91,1.56,2,4.54,0.07958333,0.0382,,concrete,pt,,,520,CEMEX_155_1450_A,
cemex_bb_155_1450_a3,cemex_bb_155_1450_a,0.155,0.1,,,1.91,1.56,2.5,4.42,0.07958333,0.0382,,concrete,pt,,,520,CEMEX_155_1450_A,
cemex_bb_155_1450_a4,cemex_bb_155_1450_a,0.155,0.1,,,1.91,1.56,3,4.306,0.07958333,0.0382,,concrete,pt,,,520,CEMEX_155_1450_A,
cemex_bb_155_1450_a5,cemex_bb_155_1450_a,0.155,0.1,,,1.91,1.56,4,3.99,0.07958333,0.0382,,concrete,pt,,,520,CEMEX_155_1450_A,
cemex_bb_155_1450_a6,cemex_bb_155_1450_a,0.155,0.1,,,1.91,1.56,5,3.73,0.07958333,0.0382,,concrete,pt,,,520,CEMEX_155_1450_A,
cemex_bb_155_1450_b1,cemex_bb_155_1450_b,0.155,0.1,,,2.28,1.56,1.5,5.9,0.095,0.0456,,concrete,pt,,,295,CEMEX_155_1450_B,
cemex_bb_155_1450_b2,cemex_bb_155_1450_b,0.155,0.1,,,2.28,1.56,2,5.78,0.095,0.0456,,concrete,pt,,,295,CEMEX_155_1450_B,
cemex_bb_155_1450_b3,cemex_bb_155_1450_b,0.155,0.1,,,2.28,1.56,2.5,5.65,0.095,0.0456,,concrete,pt,,,295,CEMEX_155_1450_B,
cemex_bb_155_1450_b4,cemex_bb_155_1450_b,0.155,0.1,,,2.28,1.56,3,5.517,0.095,0.0456,,concrete,pt,,,295,CEMEX_155_1450_B,
cemex_bb_155_1450_b5,cemex_bb_155_1450_b,0.155,0.1,,,2.28,1.56,4,5.185,0.095,0.0456,,concrete,pt,,,295,CEMEX_155_1450_B,
cemex_bb_155_1450_b6,cemex_bb_155_1450_b,0.155,0.1,,,2.28,1.56,5,4.858,0.095,0.0456,,concrete,pt,,,295,CEMEX_155_1450_B,
cemex_bb_155_1450_c1,cemex_bb_155_1450_c,0.155,0.1,,,2.04,1.56,1.5,5.195,0.085,0.0408,,concrete,pt,,,408,CEMEX_155_1450_C,
cemex_bb_155_1450_c2,cemex_bb_155_1450_c,0.155,0.1,,,2.04,1.56,2,5.05,0.085,0.0408,,concrete,pt,,,408,CEMEX_155_1450_C,
